,Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh],PV/Import Power (%),Battery Utilization Rate (%),Grid Utilization rate (%)
0,0.0,0.0,3.9468,0,0,17.166350913607847,0.0,0.0,3.9468,0.8,0.15,99,0,1
1,0.0,0.0,3.9193917,0,0,17.20786294343281,0.0,0.0,3.9193917,0.79998074,0.15,99,0,1
2,0.0,0.0,3.8919833,0,0,17.249374973257776,0.0,0.0,3.8919833,0.79996158,0.15,99,0,1
3,0.0,0.0,3.864575,0,0,17.290887003082744,0.0,0.0,3.864575,0.79994251,0.15,99,0,1
4,0.0,0.0,3.8371667,0,0,17.33239903290771,0.0,0.0,3.8371667,0.79992353,0.15,99,0,1
5,0.0,0.0,3.8097583,0,0,17.373911062732674,0.0,0.0,3.8097583,0.79990465,0.15,99,0,1
6,0.0,0.0,3.78235,0,0,17.41542309255764,0.0,0.0,3.78235,0.79988587,0.15,99,0,1
7,0.0,0.0,3.7549417,0,0,17.456935122382603,0.0,0.0,3.7549417,0.79986718,0.15,99,0,1
8,0.0,0.0,3.7275333,0,0,17.498447152207568,0.0,0.0,3.7275333,0.79984859,0.15,99,0,1
9,0.0,0.0,3.700125,0,0,17.539959182032533,0.0,0.0,3.700125,0.79983009,0.15,99,0,1
10,0.0,0.0,3.6727167,0,0,17.5814712118575,0.0,0.0,3.6727167,0.79981169,0.15,99,0,1
11,0.0,0.0,3.6453083,0,0,17.622983241682466,0.0,0.0,3.6453083,0.79979338,0.15,99,0,1
12,0.0,0.0,3.6179,0,0,17.66449527150743,0.0,0.0,3.6179,0.79977517,0.15,99,0,1
13,0.0,0.0,3.4808583,0,0,17.687908628511504,0.0,0.0,3.4808583,0.79975706,0.15,99,0,1
14,0.0,0.0,3.3438167,0,0,17.711321985515582,0.0,0.0,3.3438167,0.79973942,0.15,99,0,1
15,0.0,0.0,3.206775,0,0,17.734735342519656,0.0,0.0,3.206775,0.79972225,0.15,99,0,1
