Año,EV,PHEV,execution_time,n_evaluations,hypervolume,n_nondominated,total_solutions,nondominated_ratio,generational_distance,generational_distance_plus,inverted_generational_distance,inverted_generational_distance_plus,avg_distance,std_distance,volume_coverage
0.0,20,20,1.0,489.13139250077546,140.22529644828722,479.4278106242901,138.4558615588376,7.876641805416591,5.285589961166558,[ 0.  8.  0.  0. 18.],0.0,23,1943,342,1.0783569812774658,1000
0.0,20,20,1.0,534.733299673983,154.25245164416594,516.642085103411,151.2714252593662,14.349301665696403,9.517168122675123,[ 0. 14.  0.  0. 35.],0.0,24,2180,349,1.1822021007537842,1000
0.0,20,20,1.0,590.2968221754061,171.10234273425618,559.2513503783427,166.15075353425277,23.979149772793566,16.030902964529005,[ 0. 23.  0.  0. 56.],0.0,25,2459,356,1.3040094375610352,1000
0.0,20,20,1.0,622.2940083662309,182.41200308560974,590.3050873065555,177.45730782360025,29.524847797759858,19.800031748862356,[ 0. 27.  1.  0. 67.],0.0,26,2667,363,1.4040536880493164,1000
0.0,20,20,1.0,700.7605416703836,201.3833287841184,691.4919540385123,199.79269881554728,8.883830395139821,5.966898130508305,[ 0.  8.  0.  0. 20.],0.0,27,2879,370,1.4995591640472412,1000
0.0,20,20,1.0,754.6912592461942,216.23419958285848,747.5862224519659,215.00967420095319,6.764227744941574,4.611537232435792,[ 0.  6.  0.  0. 15.],0.0,28,3115,378,1.601741075515747,1000
0.0,20,20,1.0,823.6733851504772,236.96117257491682,801.6627909539021,233.18282612576772,17.837348453359894,11.90190387891337,[ 0. 17.  0.  0. 42.],0.0,29,3466,385,1.7197225093841553,1000
0.0,20,20,1.0,888.9297938633223,255.0651971202191,883.2990891538382,253.97102374089846,8.22132296079521,7.224181347579983,[ 0.  8.  0.  0. 18.],0.0,30,3707,393,1.8475756645202637,1000
0.0,20,20,1.0,956.5282787769531,275.4820286334482,956.528278776953,275.4820286334482,0.0,0.0,[0. 0. 0. 0. 0.],0.0,31,4023,401,1.985361099243164,1000
1.6105100000000008,20,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0. 0. 0.],0.0,1,0,0,0.0939631462097168,1000
0.0012100000000000032,20,20,1.0,1.7320508075688772,1.7320508075688772,1.7320508075688767,1.7320508075688767,0.0,0.0,[0. 0. 0. 0. 0.],0.0,2,1,1,0.09644031524658203,1000
0.006710000000000017,20,20,1.0,5.291502622129182,1.7320508075688772,5.291502622129181,1.7320508075688767,0.0,0.0,[0. 0. 0. 0. 0.],0.0,3,4,11,0.10126590728759766,1000
0.0,20,20,1.0,5.567764362830021,2.449489742783178,5.567764362830021,2.4494897427831788,0.0,0.0,[0. 0. 0. 0. 0.],0.0,4,8,23,0.0933237075805664,1000
0.0,20,20,1.0,9.063618880681773,3.401631309639108,8.660254037844389,3.3166247903553994,0.7532018450525608,1.0568337177272533,[0. 1. 0. 0. 2.],0.0,5,16,47,0.11839079856872559,1000
0.0,20,20,1.0,14.296832989259817,4.558061765400415,12.727925989728258,4.242640687119284,1.3639445106928951,1.2064181884549527,[0. 2. 0. 0. 3.],0.0,6,24,71,0.13103985786437988,1000
0.0,20,20,1.0,19.6975963846158,6.478965386571332,19.10497579166223,6.4031242374328485,1.0651882644777702,1.4945885767830611,[0. 1. 0. 0. 3.],0.0,7,32,95,0.15982699394226074,1000
0.0,20,20,1.0,31.159668567515627,9.884605287801126,29.580405676731356,9.539392014169458,1.6209612835586933,1.2891695782224621,[0. 2. 0. 0. 3.],0.0,8,48,145,0.18625473976135254,1000
0.0,20,20,1.0,35.38196208839242,10.928072304932765,32.726142455229876,10.488088481701515,3.228787470973161,2.5144183996183633,[0. 3. 0. 0. 6.],0.0,9,57,170,0.20648455619812012,1000
0.0,20,20,1.0,46.010878061606256,13.453624047073708,46.01087806160624,13.453624047073708,0.0,0.0,[0. 0. 0. 0. 0.],0.0,10,66,197,0.22507834434509277,1000
0.0,20,20,1.0,57.54370089687943,17.554087308920273,54.74487738592534,17.117242768623697,2.64257070755634,2.017288188264769,[0. 3. 0. 0. 6.],0.0,11,83,248,0.25164294242858887,1000
0.0,2,2,1.0,70.22821085575227,21.047565179849187,70.22821085575225,21.04756517984919,0.0,0.0,[0. 0. 0. 0. 0.],0.0,12,100,298,0.2794632911682129,1000
0.0,20,20,1.0,89.25079572673104,26.417342832625877,84.98236581785659,25.709920264364882,4.889552686635334,3.73287821764588,[0. 4. 0. 0. 9.],0.0,13,201,304,0.32233309745788574,1000
0.0,20,20,1.0,112.75323042491331,33.050810585193304,110.94594404483657,32.7566787083184,2.5813649773038043,2.430015618587853,[0. 2. 0. 0. 5.],0.0,14,305,306,0.3615415096282959,1000
0.0,20,20,1.0,131.85091440835524,38.67722957547968,128.77500728013953,38.13135192987522,3.6529894373783645,2.7980979934463366,[0. 3. 0. 0. 7.],0.0,15,375,310,0.3904383182525635,1000
0.0,20,20,1.0,170.25799685446708,49.67254298635531,163.38299054675187,48.55924216871593,5.608879862126921,3.9660988863665034,[ 0.  5.  0.  0. 12.],0.0,16,552,312,0.49332356452941895,1000
0.0,20,20,1.0,205.5965005629872,60.95034635813446,192.26284508453523,58.9576118919347,11.314930154676226,7.5204099702818334,[ 0. 11.  0.  0. 26.],0.0,17,731,316,0.5640430450439453,1000
0.0,20,20,1.0,240.33549576297415,71.31951161935231,219.9477231071056,68.52736679604727,17.599298102370483,11.645033772688539,[ 0. 17.  0.  0. 42.],0.0,18,913,320,0.6429812908172607,1000
0.0,20,20,1.0,298.6767222910989,85.92299550933333,291.5818926133789,84.72897969408109,6.930282658730462,4.750913835263678,[ 0.  6.  0.  0. 15.],0.0,19,1096,326,0.7104556560516357,1000
0.0,20,20,1.0,334.13681823579503,97.14962039432477,320.3763418231752,94.8946805674586,11.155423155862632,7.432411771421145,[ 0. 11.  0.  0. 27.],0.0,20,1284,330,0.7942664623260498,1000
0.0,20,20,1.0,383.2078750070422,110.5997642534794,376.2353035003494,109.32979282885341,6.936901825914992,4.81723041249751,[ 0.  6.  0.  0. 14.],0.0,21,1476,334,0.8952112197875977,1000
0.0,20,20,1.0,432.313663785049,124.16040879807645,424.15800369673565,122.77626847237218,7.550904936138956,5.116499925485937,[ 0.  7.  0.  0. 18.],0.0,22,1706,339,0.9998424053192139,1000
0.0,20,20,1.0,489.13139250077546,140.22529644828722,479.4278106242901,138.4558615588376,7.876641805416591,5.285589961166558,[ 0.  8.  0.  0. 18.],0.0,23,1943,342,1.0990605354309082,1000
0.0,20,20,1.0,534.733299673983,154.25245164416594,516.642085103411,151.2714252593662,14.349301665696403,9.517168122675123,[ 0. 14.  0.  0. 35.],0.0,24,2180,349,1.1830394268035889,1000
0.0,20,20,1.0,590.2968221754061,171.10234273425618,559.2513503783427,166.15075353425277,23.979149772793566,16.030902964529005,[ 0. 23.  0.  0. 56.],0.0,25,2459,356,1.306875228881836,1000
0.0,20,20,1.0,622.2940083662309,182.41200308560974,590.3050873065555,177.45730782360025,29.524847797759858,19.800031748862356,[ 0. 27.  1.  0. 67.],0.0,26,2667,363,1.4026520252227783,1000
0.0,20,20,1.0,700.7605416703836,201.3833287841184,691.4919540385123,199.79269881554728,8.883830395139821,5.966898130508305,[ 0.  8.  0.  0. 20.],0.0,27,2879,370,1.4779574871063232,1000
0.0,20,20,1.0,754.6912592461942,216.23419958285848,747.5862224519659,215.00967420095319,6.764227744941574,4.611537232435792,[ 0.  6.  0.  0. 15.],0.0,28,3115,378,1.5964767932891846,1000
0.0,20,20,1.0,823.6733851504772,236.96117257491682,801.6627909539021,233.18282612576772,17.837348453359894,11.90190387891337,[ 0. 17.  0.  0. 42.],0.0,29,3466,385,1.7323834896087646,1000
0.0,20,20,1.0,888.9297938633223,255.0651971202191,883.2990891538382,253.97102374089846,8.22132296079521,7.224181347579983,[ 0.  8.  0.  0. 18.],0.0,30,3707,393,1.8398487567901611,1000
0.0,20,20,1.0,956.5282787769531,275.4820286334482,956.528278776953,275.4820286334482,0.0,0.0,[0. 0. 0. 0. 0.],0.0,31,4023,401,2.014683485031128,1000
