Hora,P_base [kW],P_VE [kW],P_DER [kW],P_carga [kW]
2025-01-01 00:00:00,233925.89748727676,1788.5556,0.0,235714.45308727675
2025-01-01 00:05:00,231837.27340256894,1776.1351,0.0,233613.40850256896
2025-01-01 00:10:00,229748.6493178611,1763.7145,0.0,231512.3638178611
2025-01-01 00:15:00,227660.02523315328,1751.294,0.0,229411.31923315328
2025-01-01 00:20:00,225571.40114844544,1738.8735,0.0,227310.27464844543
2025-01-01 00:25:00,223482.77706373762,1726.453,0.0,225209.23006373763
2025-01-01 00:30:00,221394.15297902978,1714.0324,0.0,223108.18537902978
2025-01-01 00:35:00,219305.52889432196,1701.6119,0.0,221007.14079432195
2025-01-01 00:40:00,217216.90480961412,1689.1914,0.0,218906.09620961413
2025-01-01 00:45:00,215128.2807249063,1676.7709,0.0,216805.0516249063
2025-01-01 00:50:00,213039.65664019846,1664.3503,0.0,214704.00694019845
2025-01-01 00:55:00,210951.03255549064,1651.9298,0.0,212602.96235549066
2025-01-01 01:00:00,208862.4084707828,1639.5093,0.0,210501.9177707828
2025-01-01 01:05:00,208514.30445666483,1577.4067,0.0,210091.71115666482
2025-01-01 01:10:00,208166.20044254686,1515.304,0.0,209681.50444254687
2025-01-01 01:15:00,207818.0964284289,1453.2014,0.0,209271.29782842888
2025-01-01 01:20:00,207469.9924143109,1391.0988,0.0,208861.0912143109
2025-01-01 01:25:00,207121.88840019295,1328.9962,0.0,208450.88460019295
2025-01-01 01:30:00,206773.78438607496,1266.8935,0.0,208040.67788607496
2025-01-01 01:35:00,206425.680371957,1204.7909,0.0,207630.47127195698
2025-01-01 01:40:00,206077.57635783905,1142.6883,0.0,207220.26465783906
2025-01-01 01:45:00,205729.47234372105,1080.5857,0.0,206810.05804372104
2025-01-01 01:50:00,205381.36832960308,1018.483,0.0,206399.8513296031
2025-01-01 01:55:00,205033.2643154851,956.38042,0.0,205989.6447354851
2025-01-01 02:00:00,204685.16030136714,894.2778,0.0,205579.43810136715
2025-01-01 02:05:00,204337.05628724917,857.01622,0.0,205194.07250724916
2025-01-01 02:10:00,203988.9522731312,819.75465,0.0,204808.7069231312
2025-01-01 02:15:00,203640.84825901323,782.49307,0.0,204423.34132901323
2025-01-01 02:20:00,203292.74424489524,745.2315,0.0,204037.97574489523
2025-01-01 02:25:00,202944.6402307773,707.96992,0.0,203652.6101507773
2025-01-01 02:30:00,202596.5362166593,670.70835,0.0,203267.2445666593
2025-01-01 02:35:00,202248.43220254133,633.44677,0.0,202881.87897254134
2025-01-01 02:40:00,201900.3281884234,596.1852,0.0,202496.5133884234
2025-01-01 02:45:00,201552.2241743054,558.92362,0.0,202111.14779430538
2025-01-01 02:50:00,201204.12016018742,521.66205,0.0,201725.78221018743
2025-01-01 02:55:00,200856.01614606945,484.40047,0.0,201340.41661606944
2025-01-01 03:00:00,200507.91213195148,447.1389,0.0,200955.05103195147
2025-01-01 03:05:00,202248.43220254133,409.87732,0.0,202658.30952254133
2025-01-01 03:10:00,203988.9522731312,372.61575,0.0,204361.5680231312
2025-01-01 03:15:00,205729.47234372105,335.35417,0.0,206064.82651372105
2025-01-01 03:20:00,207469.9924143109,298.0926,0.0,207768.0850143109
2025-01-01 03:25:00,209210.51248490077,260.83102,0.0,209471.34350490078
2025-01-01 03:30:00,210951.03255549064,223.56945,0.0,211174.60200549065
2025-01-01 03:35:00,212691.5526260805,186.30787,0.0,212877.86049608048
2025-01-01 03:40:00,214432.07269667034,149.0463,0.0,214581.11899667032
2025-01-01 03:45:00,216172.59276726024,111.78472,0.0,216284.37748726024
2025-01-01 03:50:00,217913.1128378501,74.52315,0.0,217987.63598785008
2025-01-01 03:55:00,219653.63290843993,37.261575,0.0,219690.89448343994
2025-01-01 04:00:00,221394.15297902978,0.0,0.0,221394.15297902978
2025-01-01 04:05:00,226267.6091766814,211.14893,0.0,226478.7581066814
2025-01-01 04:10:00,231141.06537433297,422.29785,0.0,231563.36322433298
2025-01-01 04:15:00,236014.5215719846,633.44678,0.0,236647.9683519846
2025-01-01 04:20:00,240887.97776963617,844.5957,0.0,241732.57346963618
2025-01-01 04:25:00,245761.43396728777,1055.7446,0.0,246817.17856728777
2025-01-01 04:30:00,250634.8901649394,1266.8936,0.0,251901.7837649394
2025-01-01 04:35:00,255508.34636259096,1478.0425,0.0,256986.38886259097
2025-01-01 04:40:00,260381.8025602426,1689.1914,0.0,262070.9939602426
2025-01-01 04:45:00,265255.25875789416,1900.3403,0.0,267155.59905789414
2025-01-01 04:50:00,270128.7149555458,2111.4892,0.0,272240.2041555458
2025-01-01 04:55:00,275002.17115319736,2322.6382,0.0,277324.80935319734
2025-01-01 05:00:00,279875.627350849,2533.7871,0.0,282409.414450849
2025-01-01 05:05:00,281268.04340732086,2446.8434,0.0,283714.8868073209
2025-01-01 05:10:00,282660.45946379274,2359.8998,0.0,285020.35926379275
2025-01-01 05:15:00,284052.8755202646,2272.9561,0.0,286325.8316202646
2025-01-01 05:20:00,285445.2915767365,2186.0124,0.0,287631.3039767365
2025-01-01 05:25:00,286837.70763320837,2099.0687,0.0,288936.77633320837
