Hora,P_base [kW],P_VE [kW],P_DER [kW],P_carga [kW]
2025-01-01 00:00:00,81989.60000000002,113.526,0.0,82103.12600000002
2025-01-01 00:05:00,81257.55000000002,112.73762,0.0,81370.28762000002
2025-01-01 00:10:00,80525.50000000003,111.94925,0.0,80637.44925000003
2025-01-01 00:15:00,79793.45000000003,111.16088,0.0,79904.61088000002
2025-01-01 00:20:00,79061.40000000002,110.3725,0.0,79171.77250000002
2025-01-01 00:25:00,78329.35000000002,109.58412,0.0,78438.93412000002
2025-01-01 00:30:00,77597.30000000002,108.79575,0.0,77706.09575000002
2025-01-01 00:35:00,76865.25000000001,108.00738,0.0,76973.25738000001
2025-01-01 00:40:00,76133.20000000001,107.219,0.0,76240.41900000001
2025-01-01 00:45:00,75401.15000000002,106.43063,0.0,75507.58063000003
2025-01-01 00:50:00,74669.10000000002,105.64225,0.0,74774.74225000002
2025-01-01 00:55:00,73937.05000000002,104.85388,0.0,74041.90388000001
2025-01-01 01:00:00,73205.00000000001,104.0655,0.0,73309.06550000001
2025-01-01 01:05:00,73082.99166666668,100.12363,0.0,73183.11529666669
2025-01-01 01:10:00,72960.98333333335,96.18175,0.0,73057.16508333336
2025-01-01 01:15:00,72838.97500000002,92.239875,0.0,72931.21487500002
2025-01-01 01:20:00,72716.96666666667,88.298,0.0,72805.26466666667
2025-01-01 01:25:00,72594.95833333334,84.356125,0.0,72679.31445833335
2025-01-01 01:30:00,72472.95000000001,80.41425,0.0,72553.36425000001
2025-01-01 01:35:00,72350.94166666668,76.472375,0.0,72427.41404166668
2025-01-01 01:40:00,72228.93333333335,72.5305,0.0,72301.46383333334
2025-01-01 01:45:00,72106.92500000002,68.588625,0.0,72175.51362500002
2025-01-01 01:50:00,71984.91666666667,64.64675,0.0,72049.56341666667
2025-01-01 01:55:00,71862.90833333335,60.704875,0.0,71923.61320833335
2025-01-01 02:00:00,71740.90000000001,56.763,0.0,71797.66300000002
2025-01-01 02:05:00,71618.89166666668,54.397875,0.0,71673.28954166667
2025-01-01 02:10:00,71496.88333333335,52.03275,0.0,71548.91608333334
2025-01-01 02:15:00,71374.87500000001,49.667625,0.0,71424.54262500002
2025-01-01 02:20:00,71252.86666666668,47.3025,0.0,71300.16916666669
2025-01-01 02:25:00,71130.85833333335,44.937375,0.0,71175.79570833335
2025-01-01 02:30:00,71008.85,42.57225,0.0,71051.42225
2025-01-01 02:35:00,70886.84166666667,40.207125,0.0,70927.04879166668
2025-01-01 02:40:00,70764.83333333334,37.842,0.0,70802.67533333335
2025-01-01 02:45:00,70642.82500000001,35.476875,0.0,70678.301875
2025-01-01 02:50:00,70520.81666666668,33.11175,0.0,70553.92841666668
2025-01-01 02:55:00,70398.80833333335,30.746625,0.0,70429.55495833335
2025-01-01 03:00:00,70276.80000000002,28.3815,0.0,70305.18150000002
2025-01-01 03:05:00,70886.84166666667,26.016375,0.0,70912.85804166668
2025-01-01 03:10:00,71496.88333333335,23.65125,0.0,71520.53458333334
2025-01-01 03:15:00,72106.92500000002,21.286125,0.0,72128.21112500002
2025-01-01 03:20:00,72716.96666666667,18.921,0.0,72735.88766666668
2025-01-01 03:25:00,73327.00833333335,16.555875,0.0,73343.56420833335
2025-01-01 03:30:00,73937.05000000002,14.19075,0.0,73951.24075000001
2025-01-01 03:35:00,74547.09166666667,11.825625,0.0,74558.91729166667
2025-01-01 03:40:00,75157.13333333335,9.4605,0.0,75166.59383333335
2025-01-01 03:45:00,75767.17500000003,7.095375,0.0,75774.27037500004
2025-01-01 03:50:00,76377.21666666669,4.73025,0.0,76381.94691666668
2025-01-01 03:55:00,76987.25833333336,2.365125,0.0,76989.62345833336
2025-01-01 04:00:00,77597.30000000002,0.0,0.0,77597.30000000002
2025-01-01 04:05:00,79305.41666666669,13.402375,0.0,79318.81904166669
2025-01-01 04:10:00,81013.53333333335,26.80475,0.0,81040.33808333335
2025-01-01 04:15:00,82721.65000000002,40.207125,0.0,82761.85712500002
2025-01-01 04:20:00,84429.76666666668,53.6095,0.0,84483.37616666668
2025-01-01 04:25:00,86137.88333333336,67.011875,0.0,86204.89520833336
2025-01-01 04:30:00,87846.00000000003,80.41425,0.0,87926.41425000003
2025-01-01 04:35:00,89554.11666666668,93.816625,0.0,89647.93329166669
2025-01-01 04:40:00,91262.23333333337,107.219,0.0,91369.45233333336
2025-01-01 04:45:00,92970.35000000002,120.62138,0.0,93090.97138000002
2025-01-01 04:50:00,94678.46666666669,134.02375,0.0,94812.49041666668
2025-01-01 04:55:00,96386.58333333336,147.42613,0.0,96534.00946333336
2025-01-01 05:00:00,98094.70000000003,160.8285,0.0,98255.52850000003
2025-01-01 05:05:00,98582.73333333335,155.30988,0.0,98738.04321333335
2025-01-01 05:10:00,99070.76666666669,149.79125,0.0,99220.55791666669
2025-01-01 05:15:00,99558.80000000003,144.27263,0.0,99703.07263000004
2025-01-01 05:20:00,100046.83333333336,138.754,0.0,100185.58733333336
2025-01-01 05:25:00,100534.86666666668,133.23538,0.0,100668.10204666668
2025-01-01 05:30:00,101022.90000000001,127.71675,0.0,101150.61675000002
2025-01-01 05:35:00,101510.93333333336,122.19813,0.0,101633.13146333337
2025-01-01 05:40:00,101998.96666666669,116.6795,0.0,102115.64616666669
2025-01-01 05:45:00,102487.00000000001,111.16088,1.3587042,102596.80217580001
2025-01-01 05:50:00,102975.03333333335,105.64225,21.903968,103058.77161533336
2025-01-01 05:55:00,103463.06666666668,100.12363,41.421467,103521.76882966669
2025-01-01 06:00:00,103951.10000000002,94.605,131.62128,103914.08372000001
2025-01-01 06:05:00,103951.10000000002,121.40975,657.09102,103415.41873000002
2025-01-01 06:10:00,103951.10000000002,148.2145,574.06882,103525.24568000002
2025-01-01 06:15:00,103951.10000000002,175.01925,957.40226,103168.71699000002
