Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh]
0.0,0.0,473.3736,0,0,17.166350913607847,0.0,0.0,473.3736,0.8,0.15
0.0,0.0,470.08628,0,0,17.20786294343281,0.0,0.0,470.08628,0.79835079,0.15
0.0,0.0,466.79897,0,0,17.249374973257776,0.0,0.0,466.79897,0.796713,0.15
0.0,0.0,463.51165,0,0,17.290887003082744,0.0,0.0,463.51165,0.79508664,0.15
0.0,0.0,460.22433,0,0,17.33239903290771,0.0,0.0,460.22433,0.7934717,0.15
0.0,0.0,456.93702,0,0,17.373911062732674,0.0,0.0,456.93702,0.79186819,0.15
0.0,0.0,453.6497,0,0,17.41542309255764,0.0,0.0,453.6497,0.7902761,0.15
0.0,0.0,450.36238,0,0,17.456935122382603,0.0,0.0,450.36238,0.78869544,0.15
0.0,0.0,447.07507,0,0,17.498447152207568,0.0,0.0,447.07507,0.78712621,0.15
0.0,0.0,443.78775,0,0,17.539959182032533,0.0,0.0,443.78775,0.7855684,0.15
0.0,0.0,440.50043,0,0,17.5814712118575,0.0,0.0,440.50043,0.78402201,0.15
0.0,0.0,437.21312,0,0,17.622983241682466,0.0,0.0,437.21312,0.78248705,0.15
0.0,0.0,433.9258,0,0,17.66449527150743,0.0,0.0,433.9258,0.78096352,0.15
0.0,0.0,417.48922,0,0,17.687908628511504,0.0,0.0,417.48922,0.77945141,0.15
0.0,0.0,401.05263,0,0,17.711321985515582,0.0,0.0,401.05263,0.77799638,0.15
0.0,0.0,384.61605,0,0,17.734735342519656,0.0,0.0,384.61605,0.77659843,0.15
0.0,0.0,368.17947,0,0,17.758148699523733,0.0,0.0,368.17947,0.77525756,0.15
0.0,0.0,351.74288,0,0,17.781562056527807,0.0,0.0,351.74288,0.77397378,0.15
0.0,0.0,335.3063,0,0,17.804975413531885,0.0,0.0,335.3063,0.77274708,0.15
0.0,0.0,318.86972,0,0,17.82838877053596,0.0,0.0,318.86972,0.77157745,0.15
0.0,0.0,302.43313,0,0,17.851802127540033,0.0,0.0,302.43313,0.77046491,0.15
0.0,0.0,285.99655,0,0,17.87521548454411,0.0,0.0,285.99655,0.76940944,0.15
0.0,0.0,269.55997,0,0,17.898628841548184,0.0,0.0,269.55997,0.76841105,0.15
0.0,0.0,253.12338,0,0,17.922042198552262,0.0,0.0,253.12338,0.76746975,0.15
0.0,0.0,236.6868,0,0,17.945455555556336,0.0,0.0,236.6868,0.76658552,0.15
0.0,0.0,226.82485,0,0,17.948861807655422,0.0,0.0,226.82485,0.76575836,0.15
0.0,0.0,216.9629,0,0,17.952268059754505,0.0,0.0,216.9629,0.76496546,0.15
0.0,0.0,207.10095,0,0,17.955674311853592,0.0,0.0,207.10095,0.7642068,0.15
0.0,0.0,197.239,0,0,17.959080563952675,0.0,0.0,197.239,0.7634824,0.15
0.0,0.0,187.37705,0,0,17.96248681605176,0.0,0.0,187.37705,0.76279224,0.15
0.0,0.0,177.5151,0,0,17.965893068150848,0.0,0.0,177.5151,0.76213632,0.15
0.0,0.0,167.65315,0,0,17.96929932024993,0.0,0.0,167.65315,0.76151466,0.15
0.0,0.0,157.7912,0,0,17.972705572349017,0.0,0.0,157.7912,0.76092724,0.15
0.0,0.0,147.92925,0,0,17.9761118244481,0.0,0.0,147.92925,0.76037407,0.15
0.0,0.0,138.0673,0,0,17.979518076547187,0.0,0.0,138.0673,0.75985515,0.15
0.0,0.0,128.20535,0,0,17.98292432864627,0.0,0.0,128.20535,0.75937047,0.15
0.0,0.0,118.3434,0,0,17.986330580745356,0.0,0.0,118.3434,0.75892004,0.15
0.0,0.0,108.48145,0,0,17.969452082971625,0.0,0.0,108.48145,0.75850386,0.15
0.0,0.0,98.6195,0,0,17.952573585197893,0.0,0.0,98.6195,0.75812192,0.15
0.0,0.0,88.75755,0,0,17.93569508742416,0.0,0.0,88.75755,0.75777422,0.15
0.0,0.0,78.8956,0,0,17.91881658965043,0.0,0.0,78.8956,0.75746078,0.15
0.0,0.0,69.03365,0,0,17.901938091876698,0.0,0.0,69.03365,0.75718157,0.15
0.0,0.0,59.1717,0,0,17.88505959410297,0.0,0.0,59.1717,0.75693661,0.15
0.0,0.0,49.30975,0,0,17.868181096329238,0.0,0.0,49.30975,0.7567259,0.15
0.0,0.0,39.4478,0,0,17.851302598555506,0.0,0.0,39.4478,0.75654943,0.15
0.0,0.0,29.58585,0,0,17.834424100781774,0.0,0.0,29.58585,0.75640721,0.15
0.0,0.0,19.7239,0,0,17.817545603008043,0.0,0.0,19.7239,0.75629922,0.15
0.0,0.0,9.86195,0,0,17.80066710523431,0.0,0.0,9.86195,0.75622549,0.15
0.0,0.0,0.0,0,0,17.78378860746058,0.0,0.0,0.0,0.75618599,0.15
0.0,0.0,55.884383,0,0,17.748001132907774,0.0,0.0,55.884383,0.75618074,0.15
0.0,0.0,111.76877,0,0,17.712213658354973,0.0,0.0,111.76877,0.75598145,0.15
0.0,0.0,167.65315,0,0,17.67642618380217,0.0,0.0,167.65315,0.75558811,0.15
0.0,0.0,223.53753,0,0,17.640638709249366,0.0,0.0,223.53753,0.75500073,0.15
0.0,0.0,279.42192,0,0,17.60485123469656,0.0,0.0,279.42192,0.75421932,0.15
0.0,0.0,335.3063,0,0,17.56906376014376,0.0,0.0,335.3063,0.75324387,0.15
0.0,0.0,391.19068,0,0,17.533276285590958,0.0,0.0,391.19068,0.75207438,0.15
0.0,0.0,447.07507,0,0,17.497488811038153,0.0,0.0,447.07507,0.75071085,0.15
0.0,0.0,502.95945,0,0,17.461701336485348,0.0,0.0,502.95945,0.7491533,0.15
0.0,0.0,558.84383,0,0,17.425913861932546,0.0,0.0,558.84383,0.74740171,0.15
0.0,0.0,614.72822,0,0,17.390126387379745,0.0,0.0,614.72822,0.74545609,0.15
