Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh]
261.9726,0.0,261.9726,0,0,17.166350913607847,0.0,0.0,0.0,0.8,0.15
260.15335,0.0,260.15335,0,0,17.20786294343281,0.0,0.0,0.0,0.79779693,0.15
258.33409,0.0,258.33409,0,0,17.249374973257776,0.0,0.0,0.0,0.79545805,0.15
256.51484,0.0,256.51484,0,0,17.290887003082744,0.0,0.0,0.0,0.7931192,0.15
254.69558,0.0,254.69558,0,0,17.33239903290771,0.0,0.0,0.0,0.79078036,0.15
252.87633,0.0,252.87633,0,0,17.373911062732674,0.0,0.0,0.0,0.78844153,0.15
251.05707,0.0,251.05708,0,0,17.41542309255764,0.0,0.0,0.0,0.78610272,0.15
249.23782,0.0,249.23782,0,0,17.456935122382603,0.0,0.0,0.0,0.78376393,0.15
247.41857,0.0,247.41857,0,0,17.498447152207568,0.0,0.0,0.0,0.78142515,0.15
245.59931,0.0,245.59931,0,0,17.539959182032533,0.0,0.0,0.0,0.77908639,0.15
243.78006,0.0,243.78006,0,0,17.5814712118575,0.0,0.0,0.0,0.77674765,0.15
241.9608,0.0,241.9608,0,0,17.622983241682466,0.0,0.0,0.0,0.77440892,0.15
240.14155,0.0,240.14155,0,0,17.66449527150743,0.0,0.0,0.0,0.77207021,0.15
231.04528,0.0,231.04528,0,0,17.687908628511504,0.0,0.0,0.0,0.76973152,0.15
221.94901,0.0,221.94901,0,0,17.711321985515582,0.0,0.0,0.0,0.76739284,0.15
212.85274,0.0,212.85274,0,0,17.734735342519656,0.0,0.0,0.0,0.76505418,0.15
203.75647,0.0,203.75647,0,0,17.758148699523733,0.0,0.0,0.0,0.76271553,0.15
194.6602,0.0,194.6602,0,0,17.781562056527807,0.0,0.0,0.0,0.7603769,0.15
185.56393,0.0,185.56392,0,0,17.804975413531885,0.0,0.0,0.0,0.75803829,0.15
176.46765,0.0,176.46765,0,0,17.82838877053596,0.0,0.0,0.0,0.75569969,0.15
167.37138,0.0,167.37138,0,0,17.851802127540033,0.0,0.0,0.0,0.75336111,0.15
158.27511,0.0,158.27511,0,0,17.87521548454411,0.0,0.0,0.0,0.75102254,0.15
149.17884,0.0,149.17884,0,0,17.898628841548184,0.0,0.0,0.0,0.74868399,0.15
