,Scenario,L1,Utilization L1,Emission L1,L2,Utilization L2,Emission L2,L3,Utilization L3,Emission L3
0,Scenario 1,1,0,0,1,0,0,1,0,0
1,Scenario 1,1,6,719,1,4,694,1,4,335
2,Scenario 1,1,74,10208,1,45,9850,1,45,8616
3,Scenario 1,3,101,31396,2,100,25246,1,100,27877
4,Scenario 1,6,100,80916,3,100,52760,1,100,62906
5,Scenario 1,12,101,159514,5,101,97023,1,101,107086
6,Scenario 1,19,100,260654,7,100,151116,2,100,177595
7,Scenario 1,30,101,413664,11,100,232641,2,100,286501
8,Scenario 1,43,100,594060,16,100,333700,3,100,407744
9,Scenario 1,59,100,804889,21,100,447102,4,100,548082
10,Scenario 1,78,100,1071217,27,100,591888,5,100,721430
11,Scenario 1,101,100,1392451,35,100,764883,6,100,936719
12,Scenario 1,130,100,1797684,45,100,981307,8,100,1211363
13,Scenario 1,166,100,2288098,57,100,1249114,10,100,1536270
14,Scenario 1,205,101,2837355,71,100,1557095,12,100,1891887
15,Scenario 1,255,100,3534020,89,101,1935365,15,101,2347569
16,Scenario 1,316,101,4376977,110,100,2410780,19,100,2880829
17,Scenario 1,387,100,5365073,135,101,2961481,23,101,3526148
18,Scenario 1,469,100,6499110,165,100,3605147,27,100,4267443
19,Scenario 1,561,100,7771560,198,100,4331927,33,100,5133212
20,Scenario 1,664,100,9203093,235,100,5147033,39,100,6097903
21,Scenario 1,781,100,10824346,276,101,6044543,46,101,7211050
22,Scenario 1,912,101,12629797,321,100,7043093,53,100,8468203
23,Scenario 1,1056,100,14629061,371,100,8137153,62,100,9871708
24,Scenario 1,1216,100,16851811,427,100,9372597,72,100,11416031
25,Scenario 1,1389,100,19242992,487,100,10692119,82,100,13092563
26,Scenario 1,1574,100,21811555,551,100,12106580,94,100,14884669
27,Scenario 1,1773,100,24568466,621,100,13634983,106,100,16808131
28,Scenario 1,1993,100,27625013,697,100,15312871,119,100,18914435
29,Scenario 1,2229,100,30900068,778,100,17095423,133,100,21133482
30,Scenario 1,2485,101,34437281,866,101,19018481,148,101,23523818
