Hora,P_base [kW],P_VE [kW],P_DER [kW],P_carga [kW]
2025-01-01 00:00:00,414413.9968784577,4511.5536,0.0,418925.5504784577
2025-01-01 00:05:00,410713.8719063286,4480.2234,0.0,415194.0953063286
2025-01-01 00:10:00,407013.74693419953,4448.8931,0.0,411462.6400341995
2025-01-01 00:15:00,403313.62196207047,4417.5629,0.0,407731.1848620705
2025-01-01 00:20:00,399613.49698994134,4386.2327,0.0,403999.72968994133
2025-01-01 00:25:00,395913.3720178123,4354.9024,0.0,400268.2744178123
2025-01-01 00:30:00,392213.24704568315,4323.5722,0.0,396536.81924568315
2025-01-01 00:35:00,388513.1220735541,4292.242,0.0,392805.3640735541
2025-01-01 00:40:00,384812.997101425,4260.9117,0.0,389073.908801425
2025-01-01 00:45:00,381112.8721292959,4229.5815,0.0,385342.4536292959
2025-01-01 00:50:00,377412.7471571668,4198.2513,0.0,381610.99845716683
2025-01-01 00:55:00,373712.6221850377,4166.921,0.0,377879.5431850377
2025-01-01 01:00:00,370012.49721290864,4135.5908,0.0,374148.08801290864
2025-01-01 01:05:00,369395.8097175538,3978.9396,0.0,373374.74931755377
2025-01-01 01:10:00,368779.12222219893,3822.2885,0.0,372601.41072219895
2025-01-01 01:15:00,368162.4347268441,3665.6373,0.0,371828.0720268441
2025-01-01 01:20:00,367545.7472314892,3508.9861,0.0,371054.7333314892
2025-01-01 01:25:00,366929.0597361344,3352.335,0.0,370281.39473613445
2025-01-01 01:30:00,366312.3722407796,3195.6838,0.0,369508.0560407796
2025-01-01 01:35:00,365695.68474542466,3039.0326,0.0,368734.71734542464
2025-01-01 01:40:00,365078.99725006986,2882.3815,0.0,367961.3787500699
2025-01-01 01:45:00,364462.309754715,2725.7303,0.0,367188.040054715
2025-01-01 01:50:00,363845.62225936016,2569.0791,0.0,366414.70135936013
2025-01-01 01:55:00,363228.9347640053,2412.428,0.0,365641.3627640053
2025-01-01 02:00:00,362612.24726865045,2255.7768,0.0,364868.02406865044
2025-01-01 02:05:00,361995.5597732956,2161.7861,0.0,364157.3458732956
2025-01-01 02:10:00,361378.8722779408,2067.7954,0.0,363446.6676779408
2025-01-01 02:15:00,360762.1847825859,1973.8047,0.0,362735.98948258586
2025-01-01 02:20:00,360145.49728723103,1879.814,0.0,362025.31128723104
2025-01-01 02:25:00,359528.80979187624,1785.8233,0.0,361314.6330918762
2025-01-01 02:30:00,358912.1222965214,1691.8326,0.0,360603.9548965214
2025-01-01 02:35:00,358295.4348011665,1597.8419,0.0,359893.2767011665
2025-01-01 02:40:00,357678.7473058117,1503.8512,0.0,359182.59850581165
2025-01-01 02:45:00,357062.0598104568,1409.8605,0.0,358471.92031045683
2025-01-01 02:50:00,356445.37231510197,1315.8698,0.0,357761.24211510195
2025-01-01 02:55:00,355828.68481974717,1221.8791,0.0,357050.5639197472
2025-01-01 03:00:00,355211.99732439226,1127.8884,0.0,356339.88572439225
2025-01-01 03:05:00,358295.4348011665,1033.8977,0.0,359329.3325011665
2025-01-01 03:10:00,361378.8722779408,939.907,0.0,362318.7792779408
2025-01-01 03:15:00,364462.309754715,845.9163,0.0,365308.226054715
2025-01-01 03:20:00,367545.7472314892,751.9256,0.0,368297.67283148924
2025-01-01 03:25:00,370629.1847082635,657.9349,0.0,371287.1196082635
2025-01-01 03:30:00,373712.6221850377,563.9442,0.0,374276.56638503773
2025-01-01 03:35:00,376796.059661812,469.9535,0.0,377266.013161812
2025-01-01 03:40:00,379879.4971385862,375.9628,0.0,380255.45993858617
2025-01-01 03:45:00,382962.9346153605,281.9721,0.0,383244.9067153605
2025-01-01 03:50:00,386046.3720921347,187.9814,0.0,386234.3534921347
2025-01-01 03:55:00,389129.80956890894,93.9907,0.0,389223.80026890896
2025-01-01 04:00:00,392213.24704568315,0.0,0.0,392213.24704568315
2025-01-01 04:05:00,400846.8719806511,532.61397,0.0,401379.4859506511
2025-01-01 04:10:00,409480.4969156189,1065.2279,0.0,410545.7248156189
2025-01-01 04:15:00,418114.1218505868,1597.8419,0.0,419711.9637505868
2025-01-01 04:20:00,426747.7467855546,2130.4559,0.0,428878.2026855546
2025-01-01 04:25:00,435381.3717205225,2663.0698,0.0,438044.4415205225
2025-01-01 04:30:00,444014.9966554904,3195.6838,0.0,447210.6804554904
2025-01-01 04:35:00,452648.62159045826,3728.2978,0.0,456376.91939045826
2025-01-01 04:40:00,461282.24652542616,4260.9117,0.0,465543.15822542616
2025-01-01 04:45:00,469915.871460394,4793.5257,0.0,474709.397160394
2025-01-01 04:50:00,478549.4963953619,5326.1397,0.0,483875.6360953619
2025-01-01 04:55:00,487183.1213303297,5858.7536,0.0,493041.8749303297
2025-01-01 05:00:00,495816.7462652976,6391.3676,0.0,502208.1138652976
2025-01-01 05:05:00,498283.496246717,6172.056,0.0,504455.552246717
2025-01-01 05:10:00,500750.2462281364,5952.7443,0.0,506702.99052813643
2025-01-01 05:15:00,503216.9962095558,5733.4327,0.0,508950.4289095558
2025-01-01 05:20:00,505683.74619097513,5514.1211,0.0,511197.8672909751
2025-01-01 05:25:00,508150.4961723945,5294.8094,0.0,513445.3055723945
2025-01-01 05:30:00,510617.2461538139,5075.4978,0.0,515692.7439538139
2025-01-01 05:35:00,513083.9961352333,4856.1862,0.0,517940.1823352333
2025-01-01 05:40:00,515550.7461166527,4636.8745,0.0,520187.62061665265
2025-01-01 05:45:00,518017.49609807204,4417.5629,4.8489347,522430.21006337204
2025-01-01 05:50:00,520484.2460794915,4198.2513,78.170735,524604.3266444914
2025-01-01 05:55:00,522950.99606091087,3978.9396,147.82466,526782.1110009109
2025-01-01 06:00:00,525417.7460423303,3759.628,469.72914,528707.6449023304
2025-01-01 06:05:00,525417.7460423303,4824.8559,2345.0221,527897.5798423303
2025-01-01 06:10:00,525417.7460423303,5890.0839,2048.733,529259.0969423302
2025-01-01 06:15:00,525417.7460423303,6955.3118,3416.7708,528956.2870423303
2025-01-01 06:20:00,525417.7460423303,8020.5397,2768.9634,530669.3223423302
2025-01-01 06:25:00,525417.7460423303,9085.7677,3102.1386,531401.3751423303
2025-01-01 06:30:00,525417.7460423303,10150.996,3048.8086,532519.9334423303
2025-01-01 06:35:00,525417.7460423303,11216.224,2379.5591,534254.4109423304
2025-01-01 06:40:00,525417.7460423303,12281.451,3624.2931,534074.9039423303
2025-01-01 06:45:00,525417.7460423303,13346.679,13558.924,525205.5010423303
2025-01-01 06:50:00,525417.7460423303,14411.907,13487.451,526342.2020423303
2025-01-01 06:55:00,525417.7460423303,15477.135,13335.507,527559.3740423303
2025-01-01 07:00:00,525417.7460423303,16542.363,21869.313,520090.7960423303
2025-01-01 07:05:00,528501.1835191045,17294.289,22687.006,523108.4665191045
2025-01-01 07:10:00,531584.6209958787,18046.214,21557.929,528072.9059958787
2025-01-01 07:15:00,534668.0584726529,18798.14,23031.877,530434.321472653
2025-01-01 07:20:00,537751.4959494272,19550.066,7840.5647,549460.9972494273
2025-01-01 07:25:00,540834.9334262015,20301.991,13412.479,547724.4454262014
2025-01-01 07:30:00,543918.3709029757,21053.917,27070.865,537901.4229029757
2025-01-01 07:35:00,547001.8083797499,21805.842,30274.666,538532.9843797499
2025-01-01 07:40:00,550085.2458565241,22557.768,15014.379,557628.6348565242
2025-01-01 07:45:00,553168.6833332984,23309.694,15425.225,561053.1523332985
2025-01-01 07:50:00,556252.1208100726,24061.619,8795.2073,571518.5325100726
2025-01-01 07:55:00,559335.558286847,24813.545,19306.272,564842.831286847
2025-01-01 08:00:00,562418.9957636212,25565.47,9753.3486,578231.1171636211
2025-01-01 08:05:00,564885.7457450405,26066.754,11777.591,579174.9087450404
2025-01-01 08:10:00,567352.4957264599,26568.038,14934.409,578986.1247264598
2025-01-01 08:15:00,569819.2457078793,27069.322,14174.693,582713.8747078794
2025-01-01 08:20:00,572285.9956892987,27570.605,16188.439,583668.1616892987
2025-01-01 08:25:00,574752.7456707181,28071.889,13483.952,589340.6826707181
2025-01-01 08:30:00,577219.4956521374,28573.173,13125.586,592667.0826521374
2025-01-01 08:35:00,579686.2456335569,29074.457,17861.313,590899.389633557
2025-01-01 08:40:00,582152.9956149763,29575.74,23308.774,588419.9616149763
2025-01-01 08:45:00,584619.7455963957,30077.024,19410.233,595286.5365963957
2025-01-01 08:50:00,587086.495577815,30578.308,19801.587,597863.2165778149
2025-01-01 08:55:00,589553.2455592345,31079.591,19819.08,600813.7565592346
2025-01-01 09:00:00,592019.9955406538,31580.875,15111.842,608489.0285406539
2025-01-01 09:05:00,593253.3705313635,31862.847,28393.37,596722.8475313635
2025-01-01 09:10:00,594486.7455220732,32144.819,21119.593,605511.9715220733
2025-01-01 09:15:00,595720.120512783,32426.791,25277.037,602869.8745127829
2025-01-01 09:20:00,596953.4955034925,32708.764,25953.284,603708.9755034925
2025-01-01 09:25:00,598186.8704942024,32990.736,46636.54,584541.0664942024
2025-01-01 09:30:00,599420.2454849121,33272.708,31982.027,600710.926484912
2025-01-01 09:35:00,600653.6204756217,33554.68,24728.742,609479.5584756217
2025-01-01 09:40:00,601886.9954663314,33836.652,17612.906,618110.7414663314
2025-01-01 09:45:00,603120.3704570411,34118.624,18634.024,618604.970457041
2025-01-01 09:50:00,604353.7454477508,34400.596,17134.085,621620.2564477508
2025-01-01 09:55:00,605587.1204384604,34682.568,13097.097,627172.5914384604
2025-01-01 10:00:00,606820.4954291701,34964.54,11994.01,629791.0254291701
2025-01-01 10:05:00,608053.8704198799,35183.852,12654.762,630582.9604198799
2025-01-01 10:10:00,609287.2454105895,35403.164,11310.766,633379.6434105895
2025-01-01 10:15:00,610520.6204012992,35622.475,11643.141,634499.9544012992
2025-01-01 10:20:00,611753.9953920089,35841.787,10523.06,637072.7223920089
